id,username,image_url,caption,location,timestamp,likes,shares,created_at
88d3e047-ad6d-465a-beee-8a1385c25a60,roam_zoe,https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg,Making memories in magical places,"Golden Gate Bridge, San Francisco",2025-08-09 19:32:42.939+00,429,38,2025-08-09 19:32:42.15742+00
9811291f-1411-4a80-9f84-d6d0c5967163,wanderlust_sophie,https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg,Travel is the only thing you buy that makes you richer 💫,"Golden Gate Bridge, San Francisco",2025-07-20 19:32:42.343+00,488,9,2025-08-09 19:32:41.62697+00
bed3570c-6223-438e-aff7-11d0fc06c171,wanderlust_sophie,https://images.pexels.com/photos/2064827/pexels-photo-2064827.jpeg,Every sunset brings the promise of a new dawn,"Colosseum, Rome",2025-08-03 19:32:42.939+00,50,44,2025-08-09 19:32:42.15742+00
bf00b03b-3ad2-4205-8c53-b776dd1c5f4a,adventure_mia,https://images.pexels.com/photos/161798/stonehenge-mystical-wiltshire-england-161798.jpeg,"Travel far enough, you meet yourself","Stonehenge, UK",2025-07-11 19:32:42.939+00,76,23,2025-08-09 19:32:42.15742+00
d69789e8-6f22-48ee-9ec8-6af9e0f67b79,voyage_emma,https://images.pexels.com/photos/259967/pexels-photo-259967.jpeg,Every sunset brings the promise of a new dawn,"Machu Picchu, Peru",2025-08-05 19:32:42.342+00,122,10,2025-08-09 19:32:41.62697+00
d757f362-234e-479f-9e40-39bf39e651ef,voyage_emma,https://images.pexels.com/photos/351448/pexels-photo-351448.jpeg,Adventure awaits around every corner,"Christ the Redeemer, Brazil",2025-07-29 19:32:42.939+00,18,37,2025-08-09 19:32:42.15742+00
db764004-aa35-4418-84b8-e177ea3dbe03,travel_marco,https://images.pexels.com/photos/338515/pexels-photo-338515.jpeg,Wandering where the WiFi is weak but the soul is strong,"Eiffel Tower, Paris",2025-07-22 19:32:42.939+00,377,2,2025-08-09 19:32:42.15742+00
e6abfd1f-e2e0-463a-96e6-894e0b550354,adventure_mia,https://images.pexels.com/photos/259967/pexels-photo-259967.jpeg,"Travel far enough, you meet yourself","Machu Picchu, Peru",2025-07-14 19:32:42.939+00,77,15,2025-08-09 19:32:42.15742+00
edf8b958-9c78-4559-82cc-06b28756f1e4,globe_trotter_sam,https://images.pexels.com/photos/995765/pexels-photo-995765.jpeg,"The world is a book, and those who don't travel read only one page","Sydney Opera House, Australia",2025-07-22 19:32:42.343+00,192,44,2025-08-09 19:32:41.62697+00
eff93b45-7f39-4648-b3d2-484442d9880a,nomad_jenny,https://images.pexels.com/photos/2412603/pexels-photo-2412603.jpeg,Life is short and the world is wide,Great Wall of China,2025-07-20 19:32:42.343+00,162,47,2025-08-09 19:32:41.62697+00
f363ed4f-df39-494e-b97e-0e4095f42a28,voyage_emma,https://images.pexels.com/photos/995765/pexels-photo-995765.jpeg,Adventure awaits around every corner,"Sydney Opera House, Australia",2025-07-27 19:32:42.939+00,271,30,2025-08-09 19:32:42.15742+00
